Exact Match Keyword;Keyword;Search Rank;Video Name;Video URL;Upload Date;Video Age(days);Views;Likes;Dislikes;Comments;Total Watch Time (in minutes);Length (in minutes);Subscribes Driven;Shares;Max Video Resolution;Title length;Times term1 in title;Times term2 in title;Description length;Times term1 in description;Times term2 in description;Non-YouTube links in Description;YouTube links in Description;Num. of tags;Times term1 in tags;Times term2 in tags;Num. of subs;Words in subs;Times term1 in subs;Times term2 in subs;Term1 in channel name;Term2 in channel name;Total channel videos;Total channel subscribers;Channel age (days)
awd;dwq;2;"TESTANDO RÁPIDO UM BMW 650i xDRIVE AWD 4.4L 32V V8 445HP TWIN TURBO. PREÇO USADO NOS ESTADOS UNIDOS!";https://www.youtube.com/watch?v=qRW09kKBSkw;2017/02/02;5;31680;3121;20;325;145728;8.3;20;87;1080;102;1;0;1103;1;0;1;0;72;0;0;0;N/A;0;0;No;No;607;191201;2563
awd;dwq;1;"10 ANOS DE GARANTIA!!! 2016 KIA SPORTAGE LX AWD 4CIL 2.4L 16V 182HP. PRECO USADO NOS ESTADOS UNIDOS.";https://www.youtube.com/watch?v=C4pTN3SrBDU;2017/06/02;1;10618;1469;7;270;107241.8;10.1;0;0;720;100;1;0;216;0;0;1;0;66;0;0;0;N/A;0;0;No;No;607;191201;2563
awd;dwq;6;"AWD Dodge Challenger, Buy Floyd Mayweather's Ferrari, New Mazda MX-5 Concepts- Fast Lane Daily";https://www.youtube.com/watch?v=lh9bZ9W5D-c;2015/04/11;461;50396;958;39;189;257019.6;11.8;29;54;1080;94;1;0;928;0;0;7;0;17;0;0;0;N/A;0;0;No;No;2676;308694;3633
awd;dwq;5;"CARRÃO BARATO!! MERCEDES-BENZ 4MATIC ML350 SUV AWD 3.5L V6 24V 268HP. PREÇO USADO NOS ESTADOS UNIDOS";https://www.youtube.com/watch?v=rVew5tXvnXA;2016/31/10;99;31146;2851;7;285;143271.6;9.3;17;163;720;102;1;0;555;0;0;1;0;26;0;0;0;N/A;0;0;No;No;607;191201;2563
awd;dwq;3;"AWD Chevrolet Camaro SS for Sale, Dodge Viper ACR Track Times, Polestar Volvo XC90 - Fast Lane Daily";https://www.youtube.com/watch?v=kd4B8RuFoLg;2015/10/11;455;37463;768;40;273;194807.6;10.3;11;52;1080;100;1;0;923;0;0;8;0;16;0;0;0;N/A;0;0;No;No;2676;308694;3633
awd;dwq;4;"WRX Update: Symmetrical AWD vs Tire Replacement";https://www.youtube.com/watch?v=VVK4XSs_u3I;2016/19/05;264;800;15;3;10;2240;5.5;797;1;720;47;1;0;141;2;0;0;0;21;2;0;0;N/A;0;0;No;No;50;856;3767
awd;dwq;8;"2017 Lexus RX 350 AWD Review  - Lexus RX 350 2017 New F Sport";https://www.youtube.com/watch?v=3VyrqWgYEwo;2016/05/06;247;5281;53;6;1;5281;2.1;8;3;1080;61;1;0;61;1;0;0;0;35;0;0;0;N/A;0;0;No;No;14;196;248
awd;dwq;7;"BMW M5 AWD, New Porsche Cayenne, Audi TT Crossover - Fast Lane Daily";https://www.youtube.com/watch?v=Y8asgiPTGCo;2015/27/01;742;34447;727;22;121;186013.8;9.9;27;11;1080;68;1;0;833;0;0;7;0;20;0;0;0;N/A;0;0;No;No;2676;308694;3633
awd;dwq;9;"Callaway Corvette C7 GT3-R, $95K 700-hp Ford Mustang, AWD Hyundai Genesis Coupe - Fast Lane Daily";https://www.youtube.com/watch?v=fPbhyrRuFbY;2015/09/10;487;169779;1312;471;481;594226.5;10.1;131;117;1080;97;1;0;964;0;0;7;0;14;0;0;0;N/A;0;0;No;No;2676;308694;3633
awd;dwq;10;"Epic Tuning 400HP D16Z6 powered Real Time 4WD EF hatch";https://www.youtube.com/watch?v=Qxtf3_IHTfs;2007/23/09;3425;532235;699;38;409;2022493;3.8;0;0;480;54;0;0;64;1;0;0;0;10;0;0;0;N/A;0;0;No;No;11;127;3486
awd;dwq;12;"2004 Mitsubishi Outlander AWD JMT Motors";https://www.youtube.com/watch?v=VzQ5pN_XGAo;2015/02/07;586;2375;2;0;0;2612.5;1.9;0;8;720;40;1;0;922;0;0;1;0;7;0;0;0;N/A;0;0;No;No;6264;21335;2851
awd;dwq;11;"2010 Cadillac SRX-4 AWD All-Wheel-Drive";https://www.youtube.com/watch?v=YVnmx6bQDAY;2012/07/12;1523;5235;11;1;2;10993.5;4.1;0;14;720;39;1;0;118;0;0;1;0;33;0;0;0;N/A;0;0;No;No;6264;21335;2851
awd;dwq;13;""CARRO JATO IMPRESSIONANTE"!!!! 2014 AUDI A8L AWD 4.OT TWIN-TURBO 420HP. USADO NOS ESTADOS UNIDOS.";https://www.youtube.com/watch?v=Et3vDfuAhXk;2016/05/06;247;130280;5069;58;640;573232;11;196;425;1080;98;1;0;176;0;0;1;0;29;0;0;0;N/A;0;0;No;No;607;191201;2563
awd;dwq;14;"2008 GMC Acadia SLT2 AWD";https://www.youtube.com/watch?v=u2bjGV1ObBU;2012/13/12;1517;7275;13;1;3;11640;3.1;1;13;720;24;1;0;127;0;0;1;0;33;0;0;0;N/A;0;0;No;No;6264;21335;2851
awd;dwq;15;"2004 Buick Rendezvous CX AWD All-Wheel-Drive";https://www.youtube.com/watch?v=1htzEv4pYU8;2012/23/12;1507;2706;5;0;1;2706;1.8;0;2;1080;44;1;0;168;0;0;1;0;33;0;0;0;N/A;0;0;No;No;6264;21335;2851
awd;dwq;18;"2006 Chrysler 300 Touring AWD";https://www.youtube.com/watch?v=6rLFMBdtexs;2013/25/01;1474;4304;4;0;0;5595.2;2.6;0;2;720;29;1;0;118;0;0;1;0;33;0;0;0;N/A;0;0;No;No;6264;21335;2851
awd;dwq;17;"2004 Cadillac Escalade AWD White Diamond";https://www.youtube.com/watch?v=VB_RQOaEUek;2013/01/02;1467;15645;24;2;4;20338.5;3;0;11;720;40;1;0;3796;0;0;1;0;33;0;0;0;N/A;0;0;No;No;6264;21335;2851
awd;dwq;16;"New 400HP Lincoln MKZ, Alfa Romeo Giulia Quadrifoglio , 2017 Jaguar XE AWD- Fast Lane Daily";https://www.youtube.com/watch?v=lxJNy1VgpM0;2015/19/11;446;24285;587;18;183;135996;11.4;4;19;1080;91;1;0;1011;0;0;8;0;16;0;0;0;N/A;0;0;No;No;2676;308694;3633
awd;dwq;25;""DESPERTA A BESTA"!! MERCEDES S550 4MATIC AWD 4.7L V8 32V TWIN-TURBO 429HP. PRECO USADO NOS EUA-USA";https://www.youtube.com/watch?v=2cLeloRLOlM;2016/30/07;192;74771;3337;30;315;328992.4;11.3;55;160;1080;99;1;0;365;0;0;1;0;26;0;0;0;N/A;0;0;No;No;607;191201;2563
awd;dwq;24;"2006 Toyota RAV4 AWD All Wheel Drive";https://www.youtube.com/watch?v=4MCfS01PWLk;2015/06/10;490;468;2;0;0;280.8;1.1;469;0;720;36;1;0;445;0;0;1;0;7;0;0;0;N/A;0;0;No;No;6264;21335;2851
awd;dwq;26;""JUDIADO"!! 2015 TOYOTA RAV4 AWD 2.5L 4CIL 16V 176HP. PREÇO USADO NOS ESTADOS UNIDOS "VELHO VS NOVO"";https://www.youtube.com/watch?v=qQwopV53GME;2016/17/10;113;30925;2369;13;315;139162.5;10.2;16;54;720;101;1;0;186;0;0;1;0;1;0;0;0;N/A;0;0;No;No;607;191201;2563
awd;dwq;27;"Real World Test Drive 2015 Dodge Durango R/T Blacktop AWD";https://www.youtube.com/watch?v=v9jvKSPblXk;2015/11/06;607;15542;46;10;5;73047.4;4.7;0;0;720;57;1;0;0;0;0;0;0;22;0;0;0;N/A;0;0;No;No;320;0;2632
awd;dwq;30;"2011 Lexus LS460L AWD Sedan Test Drive";https://www.youtube.com/watch?v=9f2qmAlFmts;2013/21/02;1447;5743;15;1;0;10337.4;4.3;0;6;720;38;1;0;168;0;0;1;0;33;0;0;0;N/A;0;0;No;No;6264;21335;2851
awd;dwq;20;"SERÁ LIMOSINE?? 2015 AUDI A8 (L) 4.0T QUATTRO AWD 32V V8 AWD 435HP. PRECO USADO NOS ESTADOS UNIDOS";https://www.youtube.com/watch?v=wsTgCogRbTI;2016/12/12;57;41066;3381;17;373;262822.4;854;23;158;1080;99;2;0;132;0;0;1;0;1;0;0;0;N/A;0;0;No;No;607;191201;2563
awd;dwq;40;"2012 Infiniti M37X AWD Sedan Review";https://www.youtube.com/watch?v=PJVTSlovH6M;2014/02/08;920;2506;5;0;2;4761.4;3.5;1;5;720;35;1;0;698;0;0;1;0;38;0;0;0;N/A;0;0;No;No;6264;21335;2851
awd;dwq;23;"2004 Chrysler Pacifica AWD All-Wheel-Drive";https://www.youtube.com/watch?v=-WWfEhL-VCc;2012/28/09;1593;1997;5;0;0;2396.4;122;0;1;720;42;1;0;118;0;0;1;0;33;0;0;0;N/A;0;0;No;No;6264;21335;2851
awd;dwq;19;"ESSE EU GOSTEI!!! 2015 DODGE DURANGO LIMITED AWD 3.6L V6 24V 290HP. PRECO USADO NOS ESTADOS UNIDOS.";https://www.youtube.com/watch?v=eNbJqkqkAAM;2016/07/07;215;108815;5516;36;716;544075;12.5;135;434;1080;99;1;0;163;0;0;1;0;55;0;0;0;N/A;0;0;No;No;607;191201;2563
